,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,2.0,42.0,23101.59,63.6336,255.1372,5985.170527,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,5.0,57.0,25220.46,5.500175,154.9618,1407.105672,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,4.0,39.0,50666.54,13.99579075,240.114868,1877.852717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,2.0,62.0,100171.6,2.146247,164.9647,940.3579408,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4,7.0,39.0,61815.08,69.8304,162.4653,6771.506746,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,10.0,54.0,22730.72,55.88646,172.4579,5291.533225,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6,4.0,27.0,9856.89,2.984004,137.4836,1091.509603,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,8.0,23.0,130732.2,6.186286,150.007,1165.027263,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,1.0,59.0,14570.01,43.59094,159.9349,3858.410287,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9,2.0,46.0,25861.04,69.72684,124.9781,5950.964541,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
10,4.0,37.0,19523.69,2.871999386,117.472036,596.8051649,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,2.0,65.0,29315.85,67.27889,232.6707,6139.355865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
12,3.0,72.0,77544.22,63.30988,200.1185,6125.429918,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,0.0,21.0,49614.23,3.033303,137.4698,911.2594992,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14,4.0,40.0,22390.15,14.05740045,190.159922,1887.197833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,2.0,66.0,13899.94,52.83276,92.45514,4747.190141,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16,1.0,56.0,1722.01,15.38202,147.4783,1414.219141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17,0.0,77.0,36121.33,1.815836226,179.947583,369.7619068,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18,1.0,75.0,35334.17,12.81579,197.4702,1813.141473,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,4.0,46.0,43885.58,52.86347,149.9707,4803.633727,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,1.0,37.0,29823.06,2.981008475,159.951231,477.2500925,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,4.0,45.0,17231.33,58.23259,192.4404,5315.375131,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,3.0,74.0,18527.27,6.791156,179.9476,797.3327965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,0.0,30.0,81148.39,46.04792,137.4616,4170.178568,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24,0.0,48.0,67012.93,11.58317216,134.980139,1199.466728,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,0.0,27.0,45429.68,15.12645563,157.483594,1549.802896,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
26,0.0,38.0,42380.25,64.31944,144.9607,5377.07267,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27,5.0,25.0,67537.98,5.449246,120.0035,1034.133433,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,9.0,69.0,61475.04,7.607475355,117.483475,1150.859858,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,1.0,43.0,30898.32,1.26105,235.1372,1206.875735,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
